Label | KeyGen(theory) | KeyGen(real) | Sign(theory) | Sign(real) | Verify(theory) | Verify(real) | Gap | SigSize(theory) | SigSize(real,obj)
---------------------------------------------------------------------------------------------------------------------------------------------
YCSig-w4-k128-H>=k | 382.0 | 382.0 | 212.0 | 199.4 | 177.0 | 190.9 | 0.0e+00 | 93.0 | 93.2
YCSig-w4-k160-H>=k | 478.0 | 477.0 | 268.0 | 249.2 | 220.0 | 239.0 | 0.0e+00 | 116.0 | 116.0
YCSig-w4-k128-H>=2k | 502.0 | 500.0 | 359.0 | 356.1 | 145.0 | 146.9 | -5.7e-14 | 100.0 | 99.7
YCSig-w4-k160-H>=2k | 622.0 | 620.0 | 446.0 | 446.5 | 179.0 | 178.0 | 0.0e+00 | 121.0 | 121.0
YCSig-w8-k128-H>=k | 382.0 | 382.0 | 202.0 | 188.5 | 195.0 | 209.2 | 0.0e+00 | 92.0 | 92.3
YCSig-w8-k160-H>=k | 478.0 | 477.0 | 256.0 | 236.8 | 235.0 | 254.9 | 0.0e+00 | 116.0 | 115.3
YCSig-w8-k128-H>=2k | 406.0 | 405.0 | 263.0 | 249.2 | 148.0 | 161.9 | 0.0e+00 | 95.0 | 94.7
YCSig-w8-k160-H>=2k | 526.0 | 524.0 | 324.0 | 306.5 | 203.0 | 219.9 | 0.0e+00 | 125.0 | 124.6
YCSig-w16-k128-H>=k | 382.0 | 382.0 | 209.0 | 195.9 | 182.0 | 195.5 | 0.0e+00 | 93.0 | 93.6
YCSig-w16-k160-H>=k | 478.0 | 477.0 | 254.0 | 234.4 | 235.0 | 254.8 | 0.0e+00 | 116.0 | 115.8
YCSig-w16-k128-H>=2k | 430.0 | 429.0 | 217.0 | 198.3 | 214.0 | 233.1 | 0.0e+00 | 104.0 | 104.3
YCSig-w16-k160-H>=2k | 526.0 | 524.0 | 268.0 | 245.0 | 259.0 | 281.2 | 0.0e+00 | 127.0 | 127.4
YCSig-w32-k128-H>=k | 478.0 | 477.0 | 165.0 | 148.5 | 317.0 | 333.3 | 0.0e+00 | 97.0 | 96.7
YCSig-w32-k160-H>=k | 574.0 | 573.0 | 242.0 | 220.3 | 339.0 | 360.7 | 0.0e+00 | 129.0 | 129.1
YCSig-w32-k128-H>=2k | 478.0 | 477.0 | 230.0 | 209.8 | 255.0 | 275.3 | 0.0e+00 | 114.0 | 113.7
YCSig-w32-k160-H>=2k | 574.0 | 573.0 | 242.0 | 220.6 | 339.0 | 360.7 | 0.0e+00 | 129.0 | 129.3
